id;data_hora_coleta;observacao;identificador_externo;recebimento_no_laboratorio;operacao_id;origem_amostra_id;produto_id;tipo_amostra_id
1;2022-03-06T02:26:51;Saint web-readiness;Concreto;2022-03-06T16:17:05;1;1;1;1
2;2022-03-06T20:38:11;Lustroso;Account RSS microchip;2022-03-06T23:33:43;2;2;2;2
3;2022-03-06T21:49:46;Designer;client-server Forward;2022-03-06T23:51:00;3;3;3;3
4;2022-03-06T21:00:21;Rodovia Granito local;cross-platform;2022-03-06T13:34:34;4;4;4;4
5;2022-03-06T10:36:24;full-range verde-azulado Boliviano;Planner;2022-03-06T13:25:21;5;5;5;5
6;2022-03-06T05:02:05;Buckinghamshire;optimize bus;2022-03-06T11:24:39;6;6;6;6
7;2022-03-06T02:43:06;Cadeira;Fresco program Computador;2022-03-06T04:03:15;7;7;7;7
8;2022-03-06T14:47:34;Configurable Global invoice;jade Avon;2022-03-06T21:06:36;8;8;8;8
9;2022-03-06T09:35:31;Refinado;port synthesize;2022-03-06T05:52:22;9;9;9;9
10;2022-03-06T10:25:00;Bedfordshire;to CSS;2022-03-06T04:04:27;10;10;10;10
