id;descricao;volume_peso;inicio;fim;quantidade_amostras;observacao;created_by;created_date;last_modified_by;last_modified_date;produto_id;tipo_operacao_id
1;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
2;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
3;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
4;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
5;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
6;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
7;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
8;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
9;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
10;L3862022001 ===> Carga NT Avante VGM 001CT;10000;2022-04-14T01:35:09;2022-04-14T04:57:33;25;Navio operando com dois mangotes;system;2022-04-14T02:25:27;system;2022-04-14T07:19:15;1;1
