id;codigo_bdemq;nome_curto;nome_completo
1;620;GASO-A;GASOLINA A
2;62A;GASOC;GASOLINA C
3;62Z;GASOEXP;GASOLINA EXPORTACAO
4;64Z;DSLEXP;O.DIESEL EXPORTACAO
5;650;DIES-MAR;O. DIESEL MARITIMO A
6;658;DSLMS500;OLEO DIESEL A S500
7;65P;DSLMS50;OLEO DIESEL A S50
8;65S;DSLS1800;OLEO DIESEL A S1800
9;70S;MGO;MARINE GASOIL - MGO 
10;99T;MTBE;METIL TERC BUTIL ETER
11;99Q;METANOL;METANOL
12;263;DILCOMB;DILUENTES P/COMBUSTIVEL
13;610;GLP;GLP(PROPANO/BUTANO).
14;611;PROPANO;GLP(PROPANO COMERCIAL)
15;612;BUTANO;GLP(BUTANO COMERCIAL)
16;195;RESIDEMB;RESIDUO DE EMBARCACOES
17;198;RESTERM;RESIDUO DE TERMINAL
18;703;MF180;MARINE FUEL 180
19;705;MF120;MARINE FUEL 120
20;70D;MF280;MARINE FUEL 280
21;70H;MF380;MARINE FUEL 380.
22;70L;MF3801S;MARINE FUEL 380(1%S)
23;70P;MF500;MARINE FUEL 500
24;70R;MF1801S;MARINE FUEL 180(1%S)
25;70U;MF18015;MARINE FUEL MF180(1,5%S)
26;70V;MF38015;MARINE FUEL MF380(1,5%S)
27;70W;MF50015;MARINE FUEL MF500(1,5%S)
28;70X;MF600;MARINE FUEL 600
29;660;OCOMBA1;OLEO COMBUSTIVEL A1
30;66K;OCMAR;O.C. MAR.P/PREPARO BUNKER
31;67Z;OCOMBEXP;OLEO COMBUSTIVEL EXP.
32;U08;AGCALDEI;CORRENTE-AGUA DE CALDEIRA
33;668;OCOMBB1;OLEO COMBUSTIVEL B1
34;227;NAFCRAQ;NAFTA CRAQUEADA
35;6NQ;NAFPTQ;NAFTA PETROQUIMICA
36;226;NAFOUTFI;NAFTA OUTROS FINS
37;641;QAV-1;QUEROSENE DE AVIACAO-1.
38;64J;DIESELTR;O.DIESEL TRANSF
39;6DH;DSLAS10;OLEO DIESEL A S10
40;U24;CORRENTE-AGUA RESIDUAL;AG RESID
41;62J;GASOLITR;GASOLINA TRANSF
42;236;NAFTRATA;NAFTA TRATADA
43;628;NAF.OF;NAFTA(OUTROS FINS)
44;709;MF30;MARINE FUEL 30
45;707;MF80;MARINE FUEL 80
46;70M;OCMT;OLEO COMB MARITIMO P/ TURBINAS - OCMT
47;7A1;VLSFO;VLSFO 0,5% S
48;6DW;DSLABEXP;OLEO DIESEL A BTE EXPORTACAO
49;7A2;VLSFOSLV;VLSFO 0,5% S LV
50;25D;DSINTGTL;OLEO DIESEL INTERMEDIARIO GTL
51;6GN;GBOOSTER;GASOLINA BOOSTER
52;2FC;GASOFESP;GASOLINA FORA DE ESPECIFICAÇÃO
