id;nome;descricao;created_by;created_date;last_modified_by;last_modified_date
1;parse Borracha Beleza;../fake-data/blob/hipster.txt;Algodão;2022-04-12T06:20:08;Refinado Rodovia;2022-04-11T23:50:48
2;fault-tolerant;../fake-data/blob/hipster.txt;invoice;2022-04-11T23:01:33;functionalities;2022-04-12T07:43:26
3;Jogos;../fake-data/blob/hipster.txt;paradigms Bicicleta invoice;2022-04-12T01:15:28;microchip Computador empower;2022-04-12T19:19:14
4;Madeira;../fake-data/blob/hipster.txt;Metal Buckinghamshire e-services;2022-04-12T20:13:10;action-items vortals;2022-04-12T06:03:08
5;Gostoso Jóias;../fake-data/blob/hipster.txt;Operative efficient middleware;2022-04-12T03:14:56;Madeira;2022-04-12T02:44:09
6;ROI Rua;../fake-data/blob/hipster.txt;Crianças;2022-04-12T13:10:27;do salmão deposit;2022-04-12T20:10:24
7;discrete Pequeno;../fake-data/blob/hipster.txt;monitor Forward;2022-04-12T14:52:25;Mobility policy Marginal;2022-04-12T20:55:11
8;Saúde Computadores Down-sized;../fake-data/blob/hipster.txt;application;2022-04-12T15:07:43;markets;2022-04-12T10:24:11
9;Macio optical;../fake-data/blob/hipster.txt;Planner infrastructures pixel;2022-04-12T07:28:02;Administrator;2022-04-12T03:49:04
10;communities Dynamic Inteligente;../fake-data/blob/hipster.txt;International optimize;2022-04-12T21:46:23;Esportes port;2022-04-12T03:37:57
