id;descricao;volume_peso;inicio;fim;quantidade_amostras;observacao;created_by;created_date;last_modified_by;last_modified_date;produto_id;tipo_operacao_id
1;Specialist cobre;98369;2022-04-11T11:11:49;2022-04-11T14:34:13;77645;invoice Luxemburgo;connecting Sergipe Peixe;2022-04-11T12:02:07;uniform;2022-04-11T16:55:55;1;1
2;Mesa;15888;2022-04-11T09:58:44;2022-04-10T23:47:23;33933;Chapéu override Peixe;synergies;2022-04-11T00:48:13;process;2022-04-10T20:47:33;2;2
3;synthesize;62629;2022-04-10T21:59:27;2022-04-11T08:03:44;58548;Dinar Jogos;Account Senior infrastructures;2022-04-11T10:49:10;Eslovênia 24/7;2022-04-11T10:54:25;3;3
4;Maranhão Brinquedos Central;11428;2022-04-11T03:53:03;2022-04-11T01:21:22;10636;Gostoso;connect e-tailers Refinado;2022-04-11T04:19:56;Direct solution-oriented mobile;2022-04-10T23:00:17;4;4
5;Alameda Industrial;25945;2022-04-11T04:24:50;2022-04-11T14:53:55;63036;transmit;Computadores Gostoso;2022-04-10T19:48:42;de;2022-04-11T06:33:59;5;5
6;azul Samoa;70132;2022-04-11T11:17:48;2022-04-11T06:50:29;63888;Saúde;Directives Devolved;2022-04-11T18:43:19;navigate THX;2022-04-11T12:18:46;6;6
7;Computador Arquipélago interface;9194;2022-04-11T02:20:15;2022-04-11T09:55:00;12553;coherent strategic SQL;Account reciprocal;2022-04-11T17:12:36;Computadores innovate pricing;2022-04-11T03:08:40;7;7
8;caramelo;76591;2022-04-11T13:38:47;2022-04-10T22:15:11;54930;Berkshire;connecting;2022-04-11T01:00:52;rosa;2022-04-11T15:07:57;8;8
9;Jogos;45496;2022-04-11T13:07:39;2022-04-11T06:35:52;19318;Camarões context-sensitive;Bacon Franc;2022-04-11T06:54:54;sensor;2022-04-11T14:58:52;9;9
10;Rodovia;54867;2022-04-11T00:29:43;2022-04-10T21:39:07;88057;Paulo digital Fresco;pixel leading-edge;2022-04-11T11:55:39;1080p deposit;2022-04-11T13:22:05;10;10
