id;descricao;prazo;data_resolucao;created_date;last_modified_by;last_modified_date;relator_id;responsavel_id;problema_id
1;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;2022-04-13T14:03:52;Eletrônicos Rua Alagoas;2022-04-14T09:49:24;1;1;1
2;../fake-data/blob/hipster.txt;2022-04-13;2022-04-14;2022-04-13T18:56:22;alarm Re-engineered petróleo;2022-04-13T10:19:37;2;2;2
3;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;2022-04-13T21:17:19;system-worthy ADP;2022-04-13T13:47:05;1;1;3
4;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;2022-04-13T14:51:05;toolset;2022-04-13T12:40:02;1;2;4
5;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;2022-04-13T16:26:23;partnerships Checking up;2022-04-14T04:53:49;1;2;5
6;../fake-data/blob/hipster.txt;2022-04-14;2022-04-13;2022-04-14T03:20:50;Euro transmit;2022-04-14T09:35:02;1;2;6
7;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;2022-04-13T21:41:05;Markets âmbar;2022-04-13T21:22:44;2;2;7
8;../fake-data/blob/hipster.txt;2022-04-13;2022-04-14;2022-04-13T12:35:42;Cambridgeshire;2022-04-13T15:22:44;2;2;8
9;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;2022-04-13T15:12:03;Casa;2022-04-13T23:26:43;2;2;9
10;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;2022-04-14T00:58:52;moratorium;2022-04-13T15:27:57;2;2;10
