id;descricao;volume_peso;inicio;fim;quantidade_amostras;observacao;created_by;created_date;last_modified_by;last_modified_date;produto_id;tipo_operacao_id
1;Specialist cobre;98369;2022-04-07T08:25:07;2022-04-07T11:47:31;77645;invoice Luxemburgo;connecting Sergipe Peixe;2022-04-07T09:15:25;uniform;2022-04-07T14:09:13;1;1
2;Mesa;15888;2022-04-07T07:12:02;2022-04-06T21:00:41;33933;Chapéu override Peixe;synergies;2022-04-06T22:01:31;process;2022-04-06T18:00:51;2;2
3;synthesize;62629;2022-04-06T19:12:45;2022-04-07T05:17:02;58548;Dinar Jogos;Account Senior infrastructures;2022-04-07T08:02:28;Eslovênia 24/7;2022-04-07T08:07:43;3;3
4;Maranhão Brinquedos Central;11428;2022-04-07T01:06:21;2022-04-06T22:34:40;10636;Gostoso;connect e-tailers Refinado;2022-04-07T01:33:14;Direct solution-oriented mobile;2022-04-06T20:13:35;4;4
5;Alameda Industrial;25945;2022-04-07T01:38:08;2022-04-07T12:07:13;63036;transmit;Computadores Gostoso;2022-04-06T17:02:00;de;2022-04-07T03:47:17;5;5
6;azul Samoa;70132;2022-04-07T08:31:06;2022-04-07T04:03:47;63888;Saúde;Directives Devolved;2022-04-07T15:56:37;navigate THX;2022-04-07T09:32:04;6;6
7;Computador Arquipélago interface;9194;2022-04-06T23:33:33;2022-04-07T07:08:18;12553;coherent strategic SQL;Account reciprocal;2022-04-07T14:25:54;Computadores innovate pricing;2022-04-07T00:21:58;7;7
8;caramelo;76591;2022-04-07T10:52:05;2022-04-06T19:28:29;54930;Berkshire;connecting;2022-04-06T22:14:10;rosa;2022-04-07T12:21:15;8;8
9;Jogos;45496;2022-04-07T10:20:57;2022-04-07T03:49:10;19318;Camarões context-sensitive;Bacon Franc;2022-04-07T04:08:12;sensor;2022-04-07T12:12:10;9;9
10;Rodovia;54867;2022-04-06T21:43:01;2022-04-06T18:52:25;88057;Paulo digital Fresco;pixel leading-edge;2022-04-07T09:08:57;1080p deposit;2022-04-07T10:35:23;10;10
