id;data_verificacao;descricao;criticidade;impacto;data_finalizacao;foto;foto_content_type;relator_id
1;2022-04-13;VGA-8091 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
2;2022-04-13;VGA-8092 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
3;2022-04-13;VGA-8093 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
4;2022-04-13;VGA-8094 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
5;2022-04-13;VGA-8095 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
6;2022-04-13;VGA-8096 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
7;2022-04-13;VGA-8097 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
8;2022-04-13;VGA-8098 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
9;2022-04-13;VGA-8099 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
10;2022-04-13;VGA-8100 pesada;BAIXA;Sem impacto para o sistema;2022-04-14;../fake-data/blob/hipster.jpeg;image/jpeg;3
