id;descricao;prazo;data_resolucao;created_by;created_date;last_modified_by;last_modified_date;relator_id;responsavel_id;problema_id
1;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;system;2022-04-13T14:03:52;system;2022-04-14T09:49:24;3;6;1
2;../fake-data/blob/hipster.txt;2022-04-13;2022-04-14;system;2022-04-13T18:56:22;system;2022-04-13T10:19:37;3;6;2
3;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;system;2022-04-13T21:17:19;system;2022-04-13T13:47:05;3;6;3
4;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;system;2022-04-13T14:51:05;system;2022-04-13T12:40:02;3;6;4
5;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;system;2022-04-13T16:26:23;system;2022-04-14T04:53:49;3;6;5
6;../fake-data/blob/hipster.txt;2022-04-14;2022-04-13;system;2022-04-14T03:20:50;system;2022-04-14T09:35:02;3;6;6
7;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;system;2022-04-13T21:41:05;system;2022-04-13T21:22:44;3;6;7
8;../fake-data/blob/hipster.txt;2022-04-13;2022-04-14;system;2022-04-13T12:35:42;system;2022-04-13T15:22:44;3;6;8
9;../fake-data/blob/hipster.txt;2022-04-14;2022-04-14;system;2022-04-13T15:12:03;system;2022-04-13T23:26:43;3;6;9
10;../fake-data/blob/hipster.txt;2022-04-13;2022-04-13;system;2022-04-14T00:58:52;system;2022-04-13T15:27:57;3;6;10
